Tweet,Sentimen,CaseFolding,cleaned,Tokenizing,Formalisasi,Stemming,preprocessed
Sedih loh gue TikTok Shop udah ditutup ðŸ˜­,Negatif,sedih loh gue tiktok shop udah ditutup ðÿ˜­,sedih loh gue tiktok shop udah ditutup,"['sedih', 'loh', 'gue', 'tiktok', 'shop', 'udah', 'ditutup']","['sedih', 'loh', 'saya', 'tiktok', 'shop', 'sudah', 'ditutup']","['sedih', 'loh', 'saya', 'tiktok', 'shop', 'sudah', 'tutup']",sedih loh saya tiktok shop sudah ditutup
"Liat kasus ditutup tiktok shop hari ini keliatan mana yg mental bisnis mana yang cuma pedagang. Mental bisnis, ketika ada isu langsung gercep sama kesempatan apa yg mungkin masih ada. Naik turun usaha itu biasa. Yg dagang pada obral dgn tagline live terakhir. ngutuk dan ngeluh.",Negatif,"liat kasus ditutup tiktok shop hari ini keliatan mana yg mental bisnis mana yang cuma pedagang. mental bisnis, ketika ada isu langsung gercep sama kesempatan apa yg mungkin masih ada. naik turun usaha itu biasa. yg dagang pada obral dgn tagline live terakhir. ngutuk dan ngeluh.",liat kasus ditutup tiktok shop hari ini keliatan mana yg mental bisnis mana yang cuma pedagang mental bisnis ketika ada isu langsung gercep sama kesempatan apa yg mungkin masih ada naik turun usaha itu biasa yg dagang pada obral dgn tagline live terakhir ngutuk dan ngeluh,"['liat', 'kasus', 'ditutup', 'tiktok', 'shop', 'hari', 'ini', 'keliatan', 'mana', 'yg', 'mental', 'bisnis', 'mana', 'yang', 'cuma', 'pedagang', 'mental', 'bisnis', 'ketika', 'ada', 'isu', 'langsung', 'gercep', 'sama', 'kesempatan', 'apa', 'yg', 'mungkin', 'masih', 'ada', 'naik', 'turun', 'usaha', 'itu', 'biasa', 'yg', 'dagang', 'pada', 'obral', 'dgn', 'tagline', 'live', 'terakhir', 'ngutuk', 'dan', 'ngeluh']","['lihat', 'kasus', 'ditutup', 'tiktok', 'shop', 'hari', 'ini', 'kelihatan', 'mana', 'yang', 'mental', 'bisnis', 'mana', 'yang', 'cuma', 'pedagang', 'mental', 'bisnis', 'ketika', 'ada', 'isu', 'langsung', 'gerak cepat', 'sama', 'kesempatan', 'apa', 'yang', 'mungkin', 'masih', 'ada', 'naik', 'turun', 'usaha', 'itu', 'biasa', 'yang', 'dagang', 'pada', 'obral', 'dengan', 'tagline', 'live', 'terakhir', 'ngutuk', 'dan', 'mengeluh']","['lihat', 'kasus', 'tutup', 'tiktok', 'shop', 'hari', 'ini', 'lihat', 'mana', 'yang', 'mental', 'bisnis', 'mana', 'yang', 'cuma', 'dagang', 'mental', 'bisnis', 'ketika', 'ada', 'isu', 'langsung', 'gerak cepat', 'sama', 'sempat', 'apa', 'yang', 'mungkin', 'masih', 'ada', 'naik', 'turun', 'usaha', 'itu', 'biasa', 'yang', 'dagang', 'pada', 'obral', 'dengan', 'tagline', 'live', 'akhir', 'ngutuk', 'dan', 'keluh']",lihat kasus ditutup tiktok shop hari ini kelihatan mana yang mental bisnis mana yang cuma pedagang mental bisnis ketika ada isu langsung gerak cepat sama kesempatan apa yang mungkin masih ada naik turun usaha itu biasa yang dagang pada obral dengan tagline live terakhir ngutuk dan mengeluh
@discountfess Bukannya tiktok shop mau tutup ya?,Positif,@discountfess bukannya tiktok shop mau tutup ya?,bukannya tiktok shop mau tutup ya,"['bukannya', 'tiktok', 'shop', 'mau', 'tutup', 'ya']","['bukannya', 'tiktok', 'shop', 'mau', 'tutup', 'iya']","['bukan', 'tiktok', 'shop', 'mau', 'tutup', 'iya']",bukannya tiktok shop mau tutup iya
"Sebagai orang yang pernah kerja jadi live streamer di tiktokshop, ikut sedih juga tiktokshop ditutup ðŸ˜­",Negatif,"sebagai orang yang pernah kerja jadi live streamer di tiktokshop, ikut sedih juga tiktokshop ditutup ðÿ˜­",sebagai orang yang pernah kerja jadi live streamer di tiktok shop ikut sedih juga tiktok shop ditutup,"['sebagai', 'orang', 'yang', 'pernah', 'kerja', 'jadi', 'live', 'streamer', 'di', 'tiktok', 'shop', 'ikut', 'sedih', 'juga', 'tiktok', 'shop', 'ditutup']","['sebagai', 'orang', 'yang', 'pernah', 'kerja', 'jadi', 'live', 'streamer', 'di', 'tiktok', 'shop', 'ikut', 'sedih', 'juga', 'tiktok', 'shop', 'ditutup']","['bagai', 'orang', 'yang', 'pernah', 'kerja', 'jadi', 'live', 'streamer', 'di', 'tiktok', 'shop', 'ikut', 'sedih', 'juga', 'tiktok', 'shop', 'tutup']",sebagai orang yang pernah kerja jadi live streamer di tiktok shop ikut sedih juga tiktok shop ditutup
"tiktokshop ditutup masih ada yg belom gue cekout, ga nemu disopiiii:(((",Negatif,"tiktokshop ditutup masih ada yg belom gue cekout, ga nemu disopiiii:(((",tiktok shop ditutup masih ada yg belom gue cekout ga nemu disopiiii,"['tiktok', 'shop', 'ditutup', 'masih', 'ada', 'yg', 'belom', 'gue', 'cekout', 'ga', 'nemu', 'disopiiii']","['tiktok', 'shop', 'ditutup', 'masih', 'ada', 'yang', 'belum', 'saya', 'cekout', 'tidak', 'nemu', 'disopiiii']","['tiktok', 'shop', 'tutup', 'masih', 'ada', 'yang', 'belum', 'saya', 'cekout', 'tidak', 'nemu', 'disopiiii']",tiktok shop ditutup masih ada yang belum saya cekout tidak nemu disopiiii
"Anjir tiktokshop beneran ditutup, ini gimana liat track record barang yg baru di co",Positif,"anjir tiktokshop beneran ditutup, ini gimana liat track record barang yg baru di co",anjir tiktok shop beneran ditutup ini gimana liat track record barang yg baru di co,"['anjir', 'tiktok', 'shop', 'beneran', 'ditutup', 'ini', 'gimana', 'liat', 'track', 'record', 'barang', 'yg', 'baru', 'di', 'co']","['anjing', 'tiktok', 'shop', 'benar', 'ditutup', 'ini', 'bagaimana', 'lihat', 'track', 'record', 'barang', 'yang', 'baru', 'di', 'check out']","['anjing', 'tiktok', 'shop', 'benar', 'tutup', 'ini', 'bagaimana', 'lihat', 'track', 'record', 'barang', 'yang', 'baru', 'di', 'check out']",anjing tiktok shop benar ditutup ini bagaimana lihat track record barang yang baru di check out
"Tik tok shop resmi ditutup, plotwist tanah abang masih sepi &amp  penjual nya ngandelin live tiktok juga ðŸ˜Œ",Positif,"tik tok shop resmi ditutup, plotwist tanah abang masih sepi &amp  penjual nya ngandelin live tiktok juga ðÿ˜œ",tik tok shop resmi ditutup plotwist tanah abang masih sepi amp penjual nya ngandelin live tiktok juga,"['tik', 'tok', 'shop', 'resmi', 'ditutup', 'plotwist', 'tanah', 'abang', 'masih', 'sepi', 'amp', 'penjual', 'nya', 'ngandelin', 'live', 'tiktok', 'juga']","['tik', 'tok', 'shop', 'resmi', 'ditutup', 'plotwist', 'tanah', 'abang', 'masih', 'sepi', 'amp', 'penjual', 'nya', 'ngandelin', 'live', 'tiktok', 'juga']","['tik', 'tok', 'shop', 'resmi', 'tutup', 'plotwist', 'tanah', 'abang', 'masih', 'sepi', 'amp', 'jual', 'nya', 'ngandelin', 'live', 'tiktok', 'juga']",tik tok shop resmi ditutup plotwist tanah abang masih sepi amp penjual nya ngandelin live tiktok juga
"baru juga pindah haluan ke tiktok shop, udah ditutup aja.",Negatif,"baru juga pindah haluan ke tiktok shop, udah ditutup aja.",baru juga pindah haluan ke tiktok shop udah ditutup aja,"['baru', 'juga', 'pindah', 'haluan', 'ke', 'tiktok', 'shop', 'udah', 'ditutup', 'aja']","['baru', 'juga', 'pindah', 'haluan', 'ke', 'tiktok', 'shop', 'sudah', 'ditutup', 'saja']","['baru', 'juga', 'pindah', 'haluan', 'ke', 'tiktok', 'shop', 'sudah', 'tutup', 'saja']",baru juga pindah haluan ke tiktok shop sudah ditutup saja
"#TikTokshop Yang diperbaiki itu harusnya REGULASI bukan aplikasinya yg disuruh tutup. Yang kena dampaknya bukan cuman seller tiktok shop, tapi kurir ekspedisi seperti kami yang cuman ngandelin dari tiktok dan malah sekarang ditutup Terus kita skrg mau nganterin apa??? #infoloker",Netral,"#tiktokshop yang diperbaiki itu harusnya regulasi bukan aplikasinya yg disuruh tutup. yang kena dampaknya bukan cuman seller tiktok shop, tapi kurir ekspedisi seperti kami yang cuman ngandelin dari tiktok dan malah sekarang ditutup terus kita skrg mau nganterin apa??? #infoloker",yang diperbaiki itu harusnya regulasi bukan aplikasinya yg disuruh tutup yang kena dampaknya bukan cuman seller tiktok shop tapi kurir ekspedisi seperti kami yang cuman ngandelin dari tiktok dan malah sekarang ditutup terus kita skrg mau nganterin apa,"['yang', 'diperbaiki', 'itu', 'harusnya', 'regulasi', 'bukan', 'aplikasinya', 'yg', 'disuruh', 'tutup', 'yang', 'kena', 'dampaknya', 'bukan', 'cuman', 'seller', 'tiktok', 'shop', 'tapi', 'kurir', 'ekspedisi', 'seperti', 'kami', 'yang', 'cuman', 'ngandelin', 'dari', 'tiktok', 'dan', 'malah', 'sekarang', 'ditutup', 'terus', 'kita', 'skrg', 'mau', 'nganterin', 'apa']","['yang', 'diperbaiki', 'itu', 'harusnya', 'regulasi', 'bukan', 'aplikasinya', 'yang', 'disuruh', 'tutup', 'yang', 'kena', 'dampaknya', 'bukan', 'cuman', 'seller', 'tiktok', 'shop', 'tetapi', 'kurir', 'ekspedisi', 'seperti', 'kami', 'yang', 'cuman', 'ngandelin', 'dari', 'tiktok', 'dan', 'bahkan', 'sekarang', 'ditutup', 'terus', 'kita', 'sekarang', 'mau', 'nganterin', 'apa']","['yang', 'baik', 'itu', 'harus', 'regulasi', 'bukan', 'aplikasi', 'yang', 'suruh', 'tutup', 'yang', 'kena', 'dampak', 'bukan', 'cuman', 'seller', 'tiktok', 'shop', 'tetapi', 'kurir', 'ekspedisi', 'seperti', 'kami', 'yang', 'cuman', 'ngandelin', 'dari', 'tiktok', 'dan', 'bahkan', 'sekarang', 'tutup', 'terus', 'kita', 'sekarang', 'mau', 'nganterin', 'apa']",yang diperbaiki itu harusnya regulasi bukan aplikasinya yang disuruh tutup yang kena dampaknya bukan cuman seller tiktok shop tetapi kurir ekspedisi seperti kami yang cuman ngandelin dari tiktok dan bahkan sekarang ditutup terus kita sekarang mau nganterin apa
"@erigostore Tiktokshop itu lbih bgus dari live2 di toko lain, kalu toko lain mah brat bgt aplikasi nya, live nya jg sring lag pdahal sinyal kencang, platform lain kalah saing tapi alasan nya di tutup karena buat umkm makin ancur, lah waktu covid kmarin suruh online, skrng nyuruh offline lgi",Positif,"@erigostore tiktokshop itu lbih bgus dari live2 di toko lain, kalu toko lain mah brat bgt aplikasi nya, live nya jg sring lag pdahal sinyal kencang, platform lain kalah saing tapi alasan nya di tutup karena buat umkm makin ancur, lah waktu covid kmarin suruh online, skrng nyuruh offline lgi",tiktok shop itu lbih bgus dari live2 di toko lain kalu toko lain mah brat bgt aplikasi nya live nya jg sring lag pdahal sinyal kencang platform lain kalah saing tapi alasan nya di tutup karena buat umkm makin ancur lah waktu covid kmarin suruh online skrng nyuruh offline lgi,"['tiktok', 'shop', 'itu', 'lbih', 'bgus', 'dari', 'live2', 'di', 'toko', 'lain', 'kalu', 'toko', 'lain', 'mah', 'brat', 'bgt', 'aplikasi', 'nya', 'live', 'nya', 'jg', 'sring', 'lag', 'pdahal', 'sinyal', 'kencang', 'platform', 'lain', 'kalah', 'saing', 'tapi', 'alasan', 'nya', 'di', 'tutup', 'karena', 'buat', 'umkm', 'makin', 'ancur', 'lah', 'waktu', 'covid', 'kmarin', 'suruh', 'online', 'skrng', 'nyuruh', 'offline', 'lgi']","['tiktok', 'shop', 'itu', 'lebih', 'bagus', 'dari', 'live2', 'di', 'toko', 'lain', 'kalu', 'toko', 'lain', 'mah', 'brat', 'sangat', 'aplikasi', 'nya', 'live', 'nya', 'juga', 'sering', 'lag', 'padahal', 'sinyal', 'kencang', 'platform', 'lain', 'kalah', 'saing', 'tetapi', 'alasan', 'nya', 'di', 'tutup', 'karena', 'buat', 'umkm', 'makin', 'hancur', 'lah', 'waktu', 'covid', 'kemarin', 'suruh', 'online', 'sekarang', 'nyuruh', 'offline', 'lagi']","['tiktok', 'shop', 'itu', 'lebih', 'bagus', 'dari', 'live2', 'di', 'toko', 'lain', 'kalu', 'toko', 'lain', 'mah', 'brat', 'sangat', 'aplikasi', 'nya', 'live', 'nya', 'juga', 'sering', 'lag', 'padahal', 'sinyal', 'kencang', 'platform', 'lain', 'kalah', 'saing', 'tetapi', 'alas', 'nya', 'di', 'tutup', 'karena', 'buat', 'umkm', 'makin', 'hancur', 'lah', 'waktu', 'covid', 'kemarin', 'suruh', 'online', 'sekarang', 'nyuruh', 'offline', 'lagi']",tiktok shop itu lebih bagus dari live2 di toko lain kalu toko lain mah brat sangat aplikasi nya live nya juga sering lag padahal sinyal kencang platform lain kalah saing tetapi alasan nya di tutup karena buat umkm makin hancur lah waktu covid kemarin suruh online sekarang nyuruh offline lagi
ehhh tiktok shop resmi ditutup beneran????,Positif,ehhh tiktok shop resmi ditutup beneran????,ehhh tiktok shop resmi ditutup beneran,"['ehhh', 'tiktok', 'shop', 'resmi', 'ditutup', 'beneran']","['ehhh', 'tiktok', 'shop', 'resmi', 'ditutup', 'benar']","['ehhh', 'tiktok', 'shop', 'resmi', 'tutup', 'benar']",ehhh tiktok shop resmi ditutup benar
"@Medenette Iya wkwk udah tutup kayaknya move ke e-commerce lain, tiktokshop tutup cenah.",Negatif,"@medenette iya wkwk udah tutup kayaknya move ke e-commerce lain, tiktokshop tutup cenah.",iya wkwk udah tutup kayaknya move ke e commerce lain tiktok shop tutup cenah,"['iya', 'wkwk', 'udah', 'tutup', 'kayaknya', 'move', 'ke', 'e', 'commerce', 'lain', 'tiktok', 'shop', 'tutup', 'cenah']","['iya', 'tertawa', 'sudah', 'tutup', 'kayaknya', 'pindah', 'ke', 'e', 'commerce', 'lain', 'tiktok', 'shop', 'tutup', 'cenah']","['iya', 'tertawa', 'sudah', 'tutup', 'kayak', 'pindah', 'ke', 'e', 'commerce', 'lain', 'tiktok', 'shop', 'tutup', 'cenah']",iya tertawa sudah tutup kayaknya pindah ke e commerce lain tiktok shop tutup cenah
"@tanyakanrl Serius nanya, kalo tiktok shop tutup berarti yg kerjanya live jualan bakal di PHK juga dong",Negatif,"@tanyakanrl serius nanya, kalo tiktok shop tutup berarti yg kerjanya live jualan bakal di phk juga dong",serius nanya kalo tiktok shop tutup berarti yg kerjanya live jualan bakal di phk juga dong,"['serius', 'nanya', 'kalo', 'tiktok', 'shop', 'tutup', 'berarti', 'yg', 'kerjanya', 'live', 'jualan', 'bakal', 'di', 'phk', 'juga', 'dong']","['serius', 'bertanya', 'kalau', 'tiktok', 'shop', 'tutup', 'berarti', 'yang', 'kerjanya', 'live', 'jualan', 'bakal', 'di', 'phk', 'juga', 'dong']","['serius', 'tanya', 'kalau', 'tiktok', 'shop', 'tutup', 'arti', 'yang', 'kerja', 'live', 'jual', 'bakal', 'di', 'phk', 'juga', 'dong']",serius bertanya kalau tiktok shop tutup berarti yang kerjanya live jualan bakal di phk juga dong
"Sekarang tanggal 4 oktober 2023, jam 17.00 WIB TikTok shop resmi ditutup. Kalau dibilang sedih lumayan sedih sih,karena salah satu sumber penghasilan sampingan aku sebagai affiliator. Beberapa akun pemasaran juga udah mulai grow, lumayan bisa naikin Engagement rate dan fyp. -",Negatif,"sekarang tanggal 4 oktober 2023, jam 17.00 wib tiktok shop resmi ditutup. kalau dibilang sedih lumayan sedih sih,karena salah satu sumber penghasilan sampingan aku sebagai affiliator. beberapa akun pemasaran juga udah mulai grow, lumayan bisa naikin engagement rate dan fyp. -",sekarang tanggal 4 oktober 2023 jam 1700 wib tiktok shop resmi ditutup kalau dibilang sedih lumayan sedih sihkarena salah satu sumber penghasilan sampingan aku sebagai affiliator beberapa akun pemasaran juga udah mulai grow lumayan bisa naikin engagement rate dan fyp,"['sekarang', 'tanggal', '4', 'oktober', '2023', 'jam', '1700', 'wib', 'tiktok', 'shop', 'resmi', 'ditutup', 'kalau', 'dibilang', 'sedih', 'lumayan', 'sedih', 'sihkarena', 'salah', 'satu', 'sumber', 'penghasilan', 'sampingan', 'aku', 'sebagai', 'affiliator', 'beberapa', 'akun', 'pemasaran', 'juga', 'udah', 'mulai', 'grow', 'lumayan', 'bisa', 'naikin', 'engagement', 'rate', 'dan', 'fyp']","['sekarang', 'tanggal', '4', 'oktober', '2023', 'jam', '1700', 'wib', 'tiktok', 'shop', 'resmi', 'ditutup', 'kalau', 'dibilang', 'sedih', 'lumayan', 'sedih', 'sihkarena', 'salah', 'satu', 'sumber', 'penghasilan', 'sampingan', 'saya', 'sebagai', 'affiliator', 'beberapa', 'akun', 'pemasaran', 'juga', 'sudah', 'mulai', 'grow', 'lumayan', 'bisa', 'naikin', 'engagement', 'nilai', 'dan', 'fyp']","['sekarang', 'tanggal', '4', 'oktober', '2023', 'jam', '1700', 'wib', 'tiktok', 'shop', 'resmi', 'tutup', 'kalau', 'bilang', 'sedih', 'lumayan', 'sedih', 'sihkarena', 'salah', 'satu', 'sumber', 'hasil', 'samping', 'saya', 'bagai', 'affiliator', 'beberapa', 'akun', 'pasar', 'juga', 'sudah', 'mulai', 'grow', 'lumayan', 'bisa', 'naikin', 'engagement', 'nilai', 'dan', 'fyp']",sekarang tanggal 4 oktober 2023 jam 1700 wib tiktok shop resmi ditutup kalau dibilang sedih lumayan sedih sihkarena salah satu sumber penghasilan sampingan saya sebagai affiliator beberapa akun pemasaran juga sudah mulai grow lumayan bisa naikin engagement nilai dan fyp
njir tiktok shop beneran ditutup yaðŸ˜­ mau beli brushnya jacquelle mumpung murah padahal,Positif,njir tiktok shop beneran ditutup yaðÿ˜­ mau beli brushnya jacquelle mumpung murah padahal,njir tiktok shop beneran ditutup ya mau beli brushnya jacquelle mumpung murah padahal,"['njir', 'tiktok', 'shop', 'beneran', 'ditutup', 'ya', 'mau', 'beli', 'brushnya', 'jacquelle', 'mumpung', 'murah', 'padahal']","['njir', 'tiktok', 'shop', 'benar', 'ditutup', 'iya', 'mau', 'beli', 'brushnya', 'jacquelle', 'selagi', 'murah', 'padahal']","['njir', 'tiktok', 'shop', 'benar', 'tutup', 'iya', 'mau', 'beli', 'brushnya', 'jacquelle', 'selagi', 'murah', 'padahal']",njir tiktok shop benar ditutup iya mau beli brushnya jacquelle selagi murah padahal
@sweet_1323 udah di tutup tiktokshop,Negatif,@sweet_1323 udah di tutup tiktokshop,udah di tutup tiktok shop,"['udah', 'di', 'tutup', 'tiktok', 'shop']","['sudah', 'di', 'tutup', 'tiktok', 'shop']","['sudah', 'di', 'tutup', 'tiktok', 'shop']",sudah di tutup tiktok shop
"Sedih ya denger tiktok shop ditutup,kasian ribuan org yg kerja di tiktok shop JD kena PHK karena ga ada tiktok shop lg ,serba salah sih yaa",Negatif,"sedih ya denger tiktok shop ditutup,kasian ribuan org yg kerja di tiktok shop jd kena phk karena ga ada tiktok shop lg ,serba salah sih yaa",sedih ya denger tiktok shop ditutupkasian ribuan org yg kerja di tiktok shop jd kena phk karena ga ada tiktok shop lg serba salah sih yaa,"['sedih', 'ya', 'denger', 'tiktok', 'shop', 'ditutupkasian', 'ribuan', 'org', 'yg', 'kerja', 'di', 'tiktok', 'shop', 'jd', 'kena', 'phk', 'karena', 'ga', 'ada', 'tiktok', 'shop', 'lg', 'serba', 'salah', 'sih', 'yaa']","['sedih', 'iya', 'denger', 'tiktok', 'shop', 'ditutupkasian', 'ribuan', 'orang', 'yang', 'kerja', 'di', 'tiktok', 'shop', 'jadi', 'kena', 'phk', 'karena', 'tidak', 'ada', 'tiktok', 'shop', 'lagi', 'serba', 'salah', 'sih', 'yaa']","['sedih', 'iya', 'denger', 'tiktok', 'shop', 'ditutupkasian', 'ribu', 'orang', 'yang', 'kerja', 'di', 'tiktok', 'shop', 'jadi', 'kena', 'phk', 'karena', 'tidak', 'ada', 'tiktok', 'shop', 'lagi', 'serba', 'salah', 'sih', 'yaa']",sedih iya denger tiktok shop ditutupkasian ribuan orang yang kerja di tiktok shop jadi kena phk karena tidak ada tiktok shop lagi serba salah sih yaa
@byelajar pls aku jg mau beli rak ini tapi katanya udh di tutup tiktok shop nya,Negatif,@byelajar pls aku jg mau beli rak ini tapi katanya udh di tutup tiktok shop nya,pls aku jg mau beli rak ini tapi katanya udh di tutup tiktok shop nya,"['pls', 'aku', 'jg', 'mau', 'beli', 'rak', 'ini', 'tapi', 'katanya', 'udh', 'di', 'tutup', 'tiktok', 'shop', 'nya']","['tolong', 'saya', 'juga', 'mau', 'beli', 'rak', 'ini', 'tetapi', 'katanya', 'sudah', 'di', 'tutup', 'tiktok', 'shop', 'nya']","['tolong', 'saya', 'juga', 'mau', 'beli', 'rak', 'ini', 'tetapi', 'kata', 'sudah', 'di', 'tutup', 'tiktok', 'shop', 'nya']",tolong saya juga mau beli rak ini tetapi katanya sudah di tutup tiktok shop nya
@tanyakanrl Gue belom pernah belanja di tiktok shop udh tutup aja anjir,Negatif,@tanyakanrl gue belom pernah belanja di tiktok shop udh tutup aja anjir,gue belom pernah belanja di tiktok shop udh tutup aja anjir,"['gue', 'belom', 'pernah', 'belanja', 'di', 'tiktok', 'shop', 'udh', 'tutup', 'aja', 'anjir']","['saya', 'belum', 'pernah', 'belanja', 'di', 'tiktok', 'shop', 'sudah', 'tutup', 'saja', 'anjing']","['saya', 'belum', 'pernah', 'belanja', 'di', 'tiktok', 'shop', 'sudah', 'tutup', 'saja', 'anjing']",saya belum pernah belanja di tiktok shop sudah tutup saja anjing
@khaiuyeyo tiktokshop ditutup?,Negatif,@khaiuyeyo tiktokshop ditutup?,tiktok shop ditutup,"['tiktok', 'shop', 'ditutup']","['tiktok', 'shop', 'ditutup']","['tiktok', 'shop', 'tutup']",tiktok shop ditutup
"Aku kira yg dipermasalahin di tiktok shop itu para artis yg jualan mulai dr barang mahal sampe sembakoðŸ¥² ternyata semuanya jadi ditutup ya : Padahal beli skencare di tiktok banyak bundling murahðŸ˜­"";0;negatif,,,,,,,,,,,,,,,",Positif,"aku kira yg dipermasalahin di tiktok shop itu para artis yg jualan mulai dr barang mahal sampe sembakoðÿ¥² ternyata semuanya jadi ditutup ya : padahal beli skencare di tiktok banyak bundling murahðÿ˜­"";0;negatif,,,,,,,,,,,,,,,",aku kira yg dipermasalahin di tiktok shop itu para artis yg jualan mulai dr barang mahal sampe sembako ternyata semuanya jadi ditutup ya padahal beli skencare di tiktok banyak bundling murah0negatif,"['aku', 'kira', 'yg', 'dipermasalahin', 'di', 'tiktok', 'shop', 'itu', 'para', 'artis', 'yg', 'jualan', 'mulai', 'dr', 'barang', 'mahal', 'sampe', 'sembako', 'ternyata', 'semuanya', 'jadi', 'ditutup', 'ya', 'padahal', 'beli', 'skencare', 'di', 'tiktok', 'banyak', 'bundling', 'murah0negatif']","['saya', 'kira', 'yang', 'dipermasalahin', 'di', 'tiktok', 'shop', 'itu', 'para', 'artis', 'yang', 'jualan', 'mulai', 'dari', 'barang', 'mahal', 'sampai', 'sembilan bahan pokok', 'ternyata', 'semuanya', 'jadi', 'ditutup', 'iya', 'padahal', 'beli', 'skencare', 'di', 'tiktok', 'banyak', 'bundling', 'murah0negatif']","['saya', 'kira', 'yang', 'dipermasalahin', 'di', 'tiktok', 'shop', 'itu', 'para', 'artis', 'yang', 'jual', 'mulai', 'dari', 'barang', 'mahal', 'sampai', 'sembilan bahan pokok', 'nyata', 'semua', 'jadi', 'tutup', 'iya', 'padahal', 'beli', 'skencare', 'di', 'tiktok', 'banyak', 'bundling', 'murah0negatif']",saya kira yang dipermasalahin di tiktok shop itu para artis yang jualan mulai dari barang mahal sampai sembilan bahan pokok ternyata semuanya jadi ditutup iya padahal beli skencare di tiktok banyak bundling murah0negatif
"Tiktok shop ditutup, judi online aman aja. Sial.. ðŸ™‚",Positif,"tiktok shop ditutup, judi online aman aja. sial.. ðÿ™‚",tiktok shop ditutup judi online aman aja sial,"['tiktok', 'shop', 'ditutup', 'judi', 'online', 'aman', 'aja', 'sial']","['tiktok', 'shop', 'ditutup', 'judi', 'online', 'aman', 'saja', 'sial']","['tiktok', 'shop', 'tutup', 'judi', 'online', 'aman', 'saja', 'sial']",tiktok shop ditutup judi online aman saja sial
"problem dari tiktokshop cuma â€œcrossborder activitiesâ€ dimana banyak barang2 dari china masuk indo tanpa bea. Sedanngkan juga banyak umkm produk lokal yg juga dapet pasar dari tiktokshop.  Tapi langsung ditutup gitu ajaâ€¦ katanya sih lagi mediasi, cuma ya kita lihat sajaâ€¦",Positif,"problem dari tiktokshop cuma â€œcrossborder activitiesâ€ dimana banyak barang2 dari china masuk indo tanpa bea. sedanngkan juga banyak umkm produk lokal yg juga dapet pasar dari tiktokshop.  tapi langsung ditutup gitu ajaâ€¦ katanya sih lagi mediasi, cuma ya kita lihat sajaâ€¦",problem dari tiktok shop cuma crossborder activities dimana banyak barang2 dari china masuk indo tanpa bea sedanngkan juga banyak umkm produk lokal yg juga dapet pasar dari tiktok shop tapi langsung ditutup gitu aja katanya sih lagi mediasi cuma ya kita lihat saja,"['problem', 'dari', 'tiktok', 'shop', 'cuma', 'crossborder', 'activities', 'dimana', 'banyak', 'barang2', 'dari', 'china', 'masuk', 'indo', 'tanpa', 'bea', 'sedanngkan', 'juga', 'banyak', 'umkm', 'produk', 'lokal', 'yg', 'juga', 'dapet', 'pasar', 'dari', 'tiktok', 'shop', 'tapi', 'langsung', 'ditutup', 'gitu', 'aja', 'katanya', 'sih', 'lagi', 'mediasi', 'cuma', 'ya', 'kita', 'lihat', 'saja']","['masalah', 'dari', 'tiktok', 'shop', 'cuma', 'crossborder', 'activities', 'dimana', 'banyak', 'barang2', 'dari', 'china', 'masuk', 'indo', 'tanpa', 'bea', 'sedanngkan', 'juga', 'banyak', 'umkm', 'produk', 'lokal', 'yang', 'juga', 'dapat', 'pasar', 'dari', 'tiktok', 'shop', 'tetapi', 'langsung', 'ditutup', 'begitu', 'saja', 'katanya', 'sih', 'lagi', 'mediasi', 'cuma', 'iya', 'kita', 'lihat', 'saja']","['masalah', 'dari', 'tiktok', 'shop', 'cuma', 'crossborder', 'activities', 'mana', 'banyak', 'barang2', 'dari', 'china', 'masuk', 'indo', 'tanpa', 'bea', 'sedanngkan', 'juga', 'banyak', 'umkm', 'produk', 'lokal', 'yang', 'juga', 'dapat', 'pasar', 'dari', 'tiktok', 'shop', 'tetapi', 'langsung', 'tutup', 'begitu', 'saja', 'kata', 'sih', 'lagi', 'mediasi', 'cuma', 'iya', 'kita', 'lihat', 'saja']",masalah dari tiktok shop cuma crossborder activities dimana banyak barang2 dari china masuk indo tanpa bea sedanngkan juga banyak umkm produk lokal yang juga dapat pasar dari tiktok shop tetapi langsung ditutup begitu saja katanya sih lagi mediasi cuma iya kita lihat saja
